,question,answer,non_prep_question
0,с мужчина не видеться,"скажи давай встретимся, тяжело сказать ?",С мужчиной не видимся
1,год для летний мужик это очень старый или он всё таки выбрать летний,Нормально,"30 лет для 33 летнего мужика, это очень старая, или он все таки выберет 24 летнюю,"
2,нормально ли поведение мужчина,нормально,Нормально ли поведение мужчины?
3,в какой время сутки не любить заниматься кекс,И даже во сне,В какое время суток не любите заниматься кексом?
4,почему с определённый человек никто не хотеть строить отношение он умный красивый но одинокий от что такой бывать,"Судьба, он так сам захотел.","Почему с определённым человеком никто не хочет строить отношения? Он умный, красивый, но одинокий! От чего такое бывает?"
5,почему один парень на работа ни с тот ни с сие вечно когда увидеть один девушка хамить она,потому что он быдло,"Почему один парень на работе ни с того ни с сего, вечно когда увидит одну девушку хамит ей?"
6,почему женщина не мочь понять один истина,Да,Почему женщины не могут понять одну истину...?
7,секс раз в месяц это норма,"Тут либо дисфункция, либо крайне низкая половая конституция.У вас другая (повыше) . Поэтому и проблемы в этом плане.Нормальное у всех по разному.У вас есть еще проблемы кроме этого плана ( частоты и качества)?",секс 2 раза в месяц это норма?
8,не мочь высказать парень что чувствовать,"Лечится от комплекса неполноценности. Если вы не можете сказать ему на что обиделись тут несколько вариантов1) Вы обиделись на ерунду и не хотите показать себя дурой2) Вы обиделись и боитесь спровоцировать с ним еще большую ссору от которой он вас раскрутит и вышвырнет из своей жизни3) Вы обиделись на то, что он обиделся на то, что вы обиделись. Это я называю замкнутый круг обиды, очень сложно понять что происходит, даже сам запутываешься.И так варианты решения проблемы1) Не надо обижаться без повода, это бесит.","Не могу высказать парню, что чувствую"
9,мочь ли простить измена парень,искать других за деньги,может ли простить измену парень?
10,спать после ссора с мч в разный комната это правильно как потом такой разъединение повлиять на отношение,"Отдалитесь друг от друга потом. После каждой ссоры лучше сразу мирится. Чаек вскипятили, вкусняшки на стол. ))","Спать после ссоры с мч в разных комнатах это правильно? Как потом такое ""разъединение"" повлияет на отношения?"
11,случаться с ты ситуация неординарный через время задумываться неужели это с я произойти,"Страдать или нет, люди сами себе выбирают сия ""творчество"", да и произошло значит так, и должно было быть.","случается с тобой ситуация неординарная, через время задумываешься, неужели это со мной произошло"
12,вопрос женщина мучить мучить свой мужчина чтобы вытянуть из он признание что уже не знать или сам он любить и,Время покажет.,"Вопрос женщинам. Мучила, мучила своего мужчину чтобы вытянуть из него признание, что уже не знаю или сама его люблю. И"
13,с дрожь вспоминать у вы быть случай когда вы переспать не понять с кто,"Нет, пытались конечно в постель затощить, но получали в нос","С дрожью вспоминаю У вас были случаи, когда вы переспали не пойми с кем?"
14,не общаться с девушка день,Это специально.,Не общаюсь с девушкой 3 дня
15,если ты некрасивый то никто ты по настоящий не полюбить,внешность девушки играет большой роль для мужчины,"Если ты некрасивый, то никто тебя по-настоящему не полюбит ?"
16,что вы чувствовать когда прикасаться свой щека к щека любимый человек вы что то чувствовать,Он колется.) И это круто.),"Что вы чувствуете, когда прикасаетесь своей щекой к щеке любимого человека? Вы что-то чувствуете?"
17,прежде чем брать от жизнь всё можно ли донести всё,естате итересный можем ли мы отвечать за других),"Прежде чем брать от жизни все, можно ли донести все?"
18,как относиться к простой человек без снобизм если вырасти среди умный образовать и принципиальный человек,А зачем Вам к ним так относится? У Вас их так много в окружении?),"Как относиться к простым людям без снобизма если вырос среди умных, образованных и принципиальных людей?"
19,не нравиться свободный взгляд на отношение почему в отношение не остаться привязанность и верность,"разврат в чистом видеязык не поворачивается чем-то иным назвать.. эти ещё которые парами трахаются... бррр..а ты да-же не об этом... ты об изменах... измены ещё так себе, прикинь значит парень живёт с девушкой. грит - я в баню с друзьями (все понимают, в какую такую баню (и ведь реально в баню не сходишь из-за этих - никто не поверит, что не к шлюхам)), она - ok, я с подругами побухаю (читай пойду по кабакам сниматься)и ничего - живут и спят вместе о_Опро свингеров я вообще молчуэто чего у них всех этих в головах-то о_О",Не нравится свободный взгляд на отношения. Почему в отношениях не осталось привязанности и верности?
20,чисто психологически как мужчина воспринимать отказ,"скромный тяжело, а мачо пофф",Чисто психологически - как мужчины воспринимают отказ?
21,почему некоторый женщина хороший сходиться с мужчина чем с женщина на работа,"Мне лучше и легче с мужчинами на работе, чем с женщинами",почему некоторые женщины лучше сходятся с мужчинами чем с женщинами на работе?
22,кто что должный сделать для завоевание доверие женщина у мужчина и мужчина у женщина для прочный отношение,"Пересказ информации вайшнавов. Доверие складывается из 2 штук. 1. Доброта - пилот добрый, но не умеет водить самолет - лететь страшно, доверия нет. 2. Профессионализм - зирург отличный, но садист, отрежет лишнее - нет доверия.Итак, учитывайте потребности человека, повышайте айкью, чтоб по внешнему виду определять че человеку надо, не плюйте на его состояние (не просите больного гриппом идти для вас в аптеку за презиками), покажите, что вы никогда не будете его насиловать - в случае если вас что-то не устроит просто уйдете. Говорите правду. Желательно не косячить - такую правду говорить тяжело. Отвечайте за свои слова и действия. Например, если Вы потеряли одолженную книгу, верните, найдите способ любой, хоть из-под земли, закажите ее в америке.","Кто что должен сделать!? Для завоевания доверия женщины у мужчины и мужчины у женщины, для прочных отношений!"
23,после расставание с девушка другой парень подарить игрушка она отказываться она выбрасывать,Да фиг с ней. Потом сам выбросишь,"После расставания с девушкой, другой парень подарил игрушку, она отказывается ее выбрасывать."
